Chemical,Monitor,Date Time ,Reading
Methylosmolene,1,4/1/16 0:00,0.417423
Chlorodinine,1,4/1/16 0:00,0.382308
AGOC-3A,1,4/1/16 0:00,0.160462
Appluimonia,1,4/1/16 0:00,0.0030929
Methylosmolene,1,4/1/16 1:00,0.381961
Chlorodinine,1,4/1/16 1:00,0.325122
AGOC-3A,1,4/1/16 1:00,0.0656058
Appluimonia,1,4/1/16 1:00,0.00951907
Chlorodinine,1,4/1/16 2:00,0.32639
AGOC-3A,1,4/1/16 2:00,0.20397
Appluimonia,1,4/1/16 2:00,0.0983349
Methylosmolene,1,4/1/16 2:00,0.0378444
Chlorodinine,1,4/1/16 3:00,0.357711
Methylosmolene,1,4/1/16 3:00,0.353672
Appluimonia,1,4/1/16 3:00,0.288575
AGOC-3A,1,4/1/16 3:00,0.0895294
AGOC-3A,1,4/1/16 4:00,0.618398
Appluimonia,1,4/1/16 4:00,0.33195
Methylosmolene,1,4/1/16 4:00,0.284877
Chlorodinine,1,4/1/16 4:00,0.117581
Methylosmolene,1,4/1/16 5:00,0.989826
AGOC-3A,1,4/1/16 5:00,0.294556
Chlorodinine,1,4/1/16 5:00,0.108269
Appluimonia,1,4/1/16 5:00,0.0388837
Chlorodinine,1,4/1/16 6:00,0.32179
Methylosmolene,1,4/1/16 6:00,0.250966
AGOC-3A,1,4/1/16 6:00,0.210431
Appluimonia,1,4/1/16 6:00,0.0228912
AGOC-3A,1,4/1/16 7:00,0.271824
Chlorodinine,1,4/1/16 7:00,0.188189
Methylosmolene,1,4/1/16 7:00,0.072075
Appluimonia,1,4/1/16 7:00,0.0100301
Chlorodinine,1,4/1/16 8:00,0.380071
Appluimonia,1,4/1/16 8:00,0.366206
Methylosmolene,1,4/1/16 8:00,0.292984
AGOC-3A,1,4/1/16 8:00,0.0343286
Appluimonia,1,4/1/16 9:00,0.300466
AGOC-3A,1,4/1/16 9:00,0.270683
Chlorodinine,1,4/1/16 9:00,0.204093
Methylosmolene,1,4/1/16 9:00,0.0988394
Methylosmolene,1,4/1/16 10:00,0.457522
Chlorodinine,1,4/1/16 10:00,0.374429
Appluimonia,1,4/1/16 10:00,0.268343
AGOC-3A,1,4/1/16 10:00,0.0251836
Chlorodinine,1,4/1/16 11:00,0.392052
Methylosmolene,1,4/1/16 11:00,0.228423
Appluimonia,1,4/1/16 11:00,0.132435
AGOC-3A,1,4/1/16 11:00,0.0669641
AGOC-3A,1,4/1/16 12:00,0.469625
Methylosmolene,1,4/1/16 12:00,0.357148
Chlorodinine,1,4/1/16 12:00,0.233285
Appluimonia,1,4/1/16 12:00,0.032094
AGOC-3A,1,4/1/16 13:00,0.271808
Appluimonia,1,4/1/16 13:00,0.24354
Chlorodinine,1,4/1/16 13:00,0.235847
Methylosmolene,1,4/1/16 13:00,0.223932
Chlorodinine,1,4/1/16 14:00,0.440393
Methylosmolene,1,4/1/16 14:00,0.283356
Appluimonia,1,4/1/16 14:00,0.187208
AGOC-3A,1,4/1/16 14:00,0.0306601
AGOC-3A,1,4/1/16 15:00,0.266658
Methylosmolene,1,4/1/16 15:00,0.177346
Appluimonia,1,4/1/16 15:00,0.127849
Chlorodinine,1,4/1/16 15:00,0.0172048
Appluimonia,1,4/1/16 16:00,0.453372
Chlorodinine,1,4/1/16 16:00,0.299149
AGOC-3A,1,4/1/16 16:00,0.271123
Methylosmolene,1,4/1/16 16:00,0.0454476
Chlorodinine,1,4/1/16 17:00,0.519978
Methylosmolene,1,4/1/16 17:00,0.240693
AGOC-3A,1,4/1/16 17:00,0.176284
Appluimonia,1,4/1/16 17:00,0.0261086
Appluimonia,1,4/1/16 18:00,0.705206
Chlorodinine,1,4/1/16 18:00,0.405464
Methylosmolene,1,4/1/16 18:00,0.199028
AGOC-3A,1,4/1/16 18:00,0.0986899
Methylosmolene,1,4/1/16 19:00,0.568544
Appluimonia,1,4/1/16 19:00,0.320393
AGOC-3A,1,4/1/16 19:00,0.0789502
Chlorodinine,1,4/1/16 19:00,0.0420393
AGOC-3A,1,4/1/16 20:00,0.491511
Methylosmolene,1,4/1/16 20:00,0.28476
Chlorodinine,1,4/1/16 20:00,0.257028
Appluimonia,1,4/1/16 20:00,0.0839435
Chlorodinine,1,4/1/16 21:00,0.275541
Appluimonia,1,4/1/16 21:00,0.175374
AGOC-3A,1,4/1/16 21:00,0.0385238
Methylosmolene,1,4/1/16 21:00,0.0195625
Appluimonia,1,4/1/16 22:00,0.391567
Methylosmolene,1,4/1/16 22:00,0.314071
Chlorodinine,1,4/1/16 22:00,0.298078
AGOC-3A,1,4/1/16 22:00,0.161849
Methylosmolene,1,4/1/16 23:00,0.529585
AGOC-3A,1,4/1/16 23:00,0.404146
Chlorodinine,1,4/1/16 23:00,0.253087
Appluimonia,1,4/1/16 23:00,0.0833816
Methylosmolene,1,4/2/16 1:00,0.541586
Chlorodinine,1,4/2/16 1:00,0.485831
AGOC-3A,1,4/2/16 1:00,0.419144
Appluimonia,1,4/2/16 1:00,0.138599
Methylosmolene,1,4/2/16 2:00,0.252264
AGOC-3A,1,4/2/16 2:00,0.219546
Appluimonia,1,4/2/16 2:00,0.0310122
Chlorodinine,1,4/2/16 2:00,0.0149532
Methylosmolene,1,4/2/16 3:00,0.502189
AGOC-3A,1,4/2/16 3:00,0.295875
Chlorodinine,1,4/2/16 3:00,0.264447
Appluimonia,1,4/2/16 3:00,0.223378
Methylosmolene,1,4/2/16 4:00,0.323303
Appluimonia,1,4/2/16 4:00,0.282639
AGOC-3A,1,4/2/16 4:00,0.0466569
Chlorodinine,1,4/2/16 4:00,0.0163761
Methylosmolene,1,4/2/16 5:00,0.262339
Chlorodinine,1,4/2/16 5:00,0.202701
AGOC-3A,1,4/2/16 5:00,0.0341467
Appluimonia,1,4/2/16 5:00,0.0307717
AGOC-3A,1,4/2/16 6:00,0.29775
Methylosmolene,1,4/2/16 6:00,0.278871
Chlorodinine,1,4/2/16 6:00,0.181822
Appluimonia,1,4/2/16 6:00,0.00383154
Methylosmolene,1,4/2/16 7:00,0.312813
AGOC-3A,1,4/2/16 7:00,0.193642
Appluimonia,1,4/2/16 7:00,0.0662188
Chlorodinine,1,4/2/16 7:00,0.0566491
Appluimonia,1,4/2/16 8:00,0.557578
Chlorodinine,1,4/2/16 8:00,0.396863
Methylosmolene,1,4/2/16 8:00,0.324397
AGOC-3A,1,4/2/16 8:00,0.297009
Chlorodinine,1,4/2/16 9:00,0.280063
Appluimonia,1,4/2/16 9:00,0.256327
Methylosmolene,1,4/2/16 9:00,0.126937
AGOC-3A,1,4/2/16 9:00,0.0716124
Appluimonia,1,4/2/16 10:00,0.457838
Methylosmolene,1,4/2/16 10:00,0.422663
AGOC-3A,1,4/2/16 10:00,0.275278
Chlorodinine,1,4/2/16 10:00,0.122137
AGOC-3A,1,4/2/16 11:00,0.33449
Chlorodinine,1,4/2/16 11:00,0.23622
Appluimonia,1,4/2/16 11:00,0.0530652
Methylosmolene,1,4/2/16 11:00,0.0143753
Chlorodinine,1,4/2/16 12:00,0.239039
AGOC-3A,1,4/2/16 12:00,0.191907
Appluimonia,1,4/2/16 12:00,0.13044
Methylosmolene,1,4/2/16 12:00,0.0569623
AGOC-3A,1,4/2/16 13:00,0.64877
Methylosmolene,1,4/2/16 13:00,0.285525
Appluimonia,1,4/2/16 13:00,0.270406
Chlorodinine,1,4/2/16 13:00,0.0405078
Appluimonia,1,4/2/16 14:00,0.129968
Methylosmolene,1,4/2/16 14:00,0.12731
Chlorodinine,1,4/2/16 14:00,0.12367
AGOC-3A,1,4/2/16 14:00,0.0815633
AGOC-3A,1,4/2/16 15:00,0.358652
Methylosmolene,1,4/2/16 15:00,0.270016
Appluimonia,1,4/2/16 15:00,0.23448
Chlorodinine,1,4/2/16 15:00,0.0879218
Appluimonia,1,4/2/16 16:00,0.331038
AGOC-3A,1,4/2/16 16:00,0.177439
Methylosmolene,1,4/2/16 16:00,0.106402
Chlorodinine,1,4/2/16 16:00,0.0317947
Appluimonia,1,4/2/16 17:00,0.332387
Chlorodinine,1,4/2/16 17:00,0.29423
AGOC-3A,1,4/2/16 17:00,0.265883
Methylosmolene,1,4/2/16 17:00,0.0707958
Chlorodinine,1,4/2/16 18:00,0.593697
Appluimonia,1,4/2/16 18:00,0.208241
AGOC-3A,1,4/2/16 18:00,0.166033
Methylosmolene,1,4/2/16 18:00,0.148164
Appluimonia,1,4/2/16 19:00,0.348079
Chlorodinine,1,4/2/16 19:00,0.346854
AGOC-3A,1,4/2/16 19:00,0.169396
Methylosmolene,1,4/2/16 19:00,0.0466978
Methylosmolene,1,4/2/16 20:00,0.411176
